tissue,ind_id,age,expression
Cortex,841,2,0.4942205653484773
Cortex,842,2,0.2122733435659167
Cortex,833,5,0.2117451544011947
Cortex,2260,11,0.06881896511740704
Cortex,460502,20,0.1979125761583
Cortex,2067,32,0.24147047022642376
Cortex,1979,61,0.38607854291775945
Cortex,700,93,0.42251058642451433
Cortex,705,93,0.1600207043555425
Cortex,2053,144,0.26288530729611675
Cortex,1753,232,1.9160678507620632
Cortex,1625,303,0.14629293519691092
Cortex,586,649,0.093202775157475
Cortex,561,654,0.11211150772177732
Cortex,457,904,0.1872452281914469
Lung,841,2,0.1723446894721078
Lung,842,2,0.21541612732219473
Lung,833,5,0.10491686608276096
Lung,2260,11,0.24445578483442254
Lung,460502,20,0.21903884147292266
Lung,2067,32,0.21595585009667304
Lung,1979,61,0.2882271377477239
Lung,700,93,0.30201253447910975
Lung,705,93,0.6194080900010795
Lung,2053,144,0.3197171394270235
Lung,1753,232,0.3197171394270235
Lung,1625,303,0.2053563284779958
Lung,586,649,0.213794021531314
Lung,561,654,2.4528855234674487
Lung,457,904,0.9563020193669943
Lung,465,904,2.10165082210282
Liver,841,2,2.530226502637439
Liver,842,2,3.674853111865355
Liver,833,5,4.76771371279397
Liver,2260,11,8.12543314887285
Liver,460502,20,8.920034699763915
Liver,2067,32,6.721497013007321
Liver,1979,61,5.494664271771326
Liver,700,93,7.919723130406209
Liver,705,93,6.777619020335879
Liver,2053,144,7.601038863110399
Liver,1753,232,6.9300406800636605
Liver,1625,303,6.411437853356666
Liver,586,649,8.754084273873307
Liver,561,654,9.326826915644435
Liver,457,904,11.64536841465812
Liver,465,904,11.465371026950422
Muscle,841,2,0.629439732499807
Muscle,842,2,1.9276910168463348
Muscle,833,5,0.07772982372425875
Muscle,2260,11,0.1797497924175593
Muscle,460502,20,0.38446193938477013
Muscle,2067,32,0.9455564423118216
Muscle,1979,61,1.3132421368214486
Muscle,700,93,1.0905489313379346
Muscle,705,93,0.9865551067857679
Muscle,2053,144,0.6486829331621861
Muscle,1753,232,0.8982751402298977
Muscle,1625,303,1.5383741576061867
Muscle,586,649,0.749905283346238
Muscle,561,654,1.3842070015970642
Muscle,457,904,3.095410915738279
Muscle,465,904,0.7659797024807851
